what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375745267714
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375745268958
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375745281138
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375745285738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375745287291
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745290817
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745347928
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745445870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745446840
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745465969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745479417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745491749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745508023
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375745508930
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375745520702
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375745522932
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375745526391
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375745630764
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375745632055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375745632838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745637328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745652702
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375745704315
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375745708752
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375745710983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745729220
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745765758
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375745774217
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375745776557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745847702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745858164
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375745875746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375745880175
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375745899936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375745902506
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375745994479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375746002825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375746078117
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375746079467
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375746091198
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375746093108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375746112574
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375746114874
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375746117618
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375746143640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375746145255
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375746160343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375746167932
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375746169564
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375746173605
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375746174020
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375746187559
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375746187857
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375746194994
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375746195286
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375746201759
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375746202202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375746223186
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375746641996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375746748137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375746756613
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375746813506
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375746815137
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375746840106
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375746847882
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375746879922
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375746883527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375746885932
