what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915389032
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915390646
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370915390674
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370915390889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915392917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915405440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915406502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915486479
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915487686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915587602
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370915590290
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370915590595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915596433
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915644273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915645370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915652746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915653742
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915717190
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915719870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915736493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915737585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915782401
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915783714
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915808131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915810194
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915829548
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915833322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915926700
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915928474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915961477
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370915961505
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370915961694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370915967497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1370915996073
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370915997954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370916121038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370916122182
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370916131802
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370916133564
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370916135985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370916136851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370916249606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370916250783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370918527133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370918528135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370918588382
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370918589436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370918591274
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370918592159
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370918740245
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370918742843
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370918743137
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370918746638
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370919138238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370919140265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370919141321
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370919181966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370919358570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370919377863
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370919419235
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370919420252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370919433205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370919435573
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370919600852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370919612522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920091689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920128768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920333823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920336416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920345993
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370920348212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920352907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920356253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920359176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920363013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920391569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920397966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920399542
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920418454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920477734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920480846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920660324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920723121
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370920728221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370920733800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370925476143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370925476967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370976961504
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370976969322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370976979051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370976980842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370984477493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370984485249
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110510,"org.eclipse.equinox.p2.extensionlocation",1370984485836
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1370984508570
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1370984512320
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.R37x_v20110815-0935,"org.eclipse.equinox.p2.touchpoint.eclipse",1370984512371
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.install",1370985553230
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370985675280
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110506,"org.eclipse.equinox.frameworkadmin.equinox",1370985675411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370985676707
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370985729106
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1370985730097
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1370985730099
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1370985730101
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1370985730104
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1370985730106
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1370985730107
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1370985730108
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1370985730109
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1370985730111
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.200.v201103302125,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1370985730112
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1370985730114
stopped,bundle,com.objectaid.uml.addon.java,1.1.2,"com.objectaid.uml.addon.java",1370985730115
stopped,bundle,com.objectaid.uml.addon,1.1.2,"com.objectaid.uml.addon",1370985730115
stopped,bundle,com.objectaid.uml.cls.java,1.1.2,"com.objectaid.uml.cls.java",1370985730115
stopped,bundle,com.objectaid.uml.cls,1.1.2,"com.objectaid.uml.cls",1370985730115
stopped,bundle,com.objectaid.uml.seq.java,1.1.2,"com.objectaid.uml.seq.java",1370985730116
stopped,bundle,com.objectaid.uml.java,1.1.2,"com.objectaid.uml.java",1370985730118
stopped,bundle,com.objectaid.uml.seq,1.1.2,"com.objectaid.uml.seq",1370985730118
stopped,bundle,com.objectaid.uml,1.1.2,"com.objectaid.uml",1370985730118
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1370985730121
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1370985730122
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1370985730123
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1370985730124
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1370985730125
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1370985730127
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.200.v201004290730,"org.eclipse.jst.j2ee.ejb.annotations.ui",1370985730128
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.ui.dse",1370985730130
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1370985730132
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1370985730138
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1370985730140
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1370985730144
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1370985730146
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1370985730149
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1370985730151
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1370985730155
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1370985730157
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1370985730157
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1370985730157
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1370985730161
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1370985730163
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1370985730163
stopped,bundle,org.eclipse.egit.mylyn.ui,1.1.0.201109151100-r,"org.eclipse.egit.mylyn.ui",1370985730166
stopped,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1370985730167
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1370985730168
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1370985730169
