what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375748832952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375748835525
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1375748841853
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375748844233
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375748844563
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375748873525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375748992693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749031903
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749097203
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375749113649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749114871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749160780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749167027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749174069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749199080
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749270341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749270741
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749274355
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749296877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749316661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749365858
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749428668
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375749441708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749445339
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749451740
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749459519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749460888
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375749462239
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375749462553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749467214
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749469653
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375749488845
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375749518194
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375749519932
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375749520322
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375749520717
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375749521114
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375749521507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375749523560
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749523879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749527446
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375749529000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375749530043
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375749530964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749541265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749542650
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375749546220
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375749546557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749555176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749595815
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375749614721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375749615302
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375749616168
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375749616663
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375749617135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375749617614
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375749618275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375749632867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749638466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749639596
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375749640743
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375749641092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375749650282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749655139
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749656507
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749661273
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749710798
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749714087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749848225
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375749864173
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375749864519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749866663
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749883996
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375749887140
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375749887488
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375749906594
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375749924738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749947163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375749962751
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375750029906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375750031656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375750048754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375750087770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375750098711
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375750115673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375750155346
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375750156632
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375750189712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375750191674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375750192623
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375750196254
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375750199186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375750200167
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375750203793
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375750205228
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375750302048
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375750325121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375750352246
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375750470779
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375750473802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375750489206
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375750491032
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375750492185
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375750500187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375751249364
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375751256833
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375751301115
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375751304487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375751305732
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375751312128
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375751312467
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1375751320868
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1375751323126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375751378697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375751379979
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375751386613
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375751387006
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1375751398069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375751404025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375751404999
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1375751414726
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1375751414819
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375751426112
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375751445834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375751465108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375751469682
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375751474778
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375751475572
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1375751480945
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1375751483512
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375751483543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375751485621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375751486898
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375751490554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375751493295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1375751493361
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375751506976
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1375751508844
