what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375566007983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375566009762
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375566863137
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375566867006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375566880275
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375566888729
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375566893446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375566898927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375566946799
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1375566953953
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375566953976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375566963388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375566964952
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.search.references.in.project",1375566965013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375566980007
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1375566980051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375566989595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567000802
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567005964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567016709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567018403
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567037679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567041902
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.search.references.in.project",1375567041962
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1375567053228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567071550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567075519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567118875
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1375567140577
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567140744
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openSearchDialog",1375567140869
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375567145547
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375567149868
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567184043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567186124
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567186970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567201210
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1375567205458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567208506
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567219104
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1375567219182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1375567219182
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567230602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375567461179
