what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911478511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911494035
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1368911496042
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1368911501579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911501880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911507838
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1368911512709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911515084
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911588702
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1368911590229
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1368911595756
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1368911616293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911774325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911809715
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1368911809741
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1368911810606
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1368911814568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911837402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911863620
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911883836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911895108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911915406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911949727
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1368911952105
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1368911956253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368911976139
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368912052339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368912058882
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368912061018
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1368912062537
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1368912092789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368912114266
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913048390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913162187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913456801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913462562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913476535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913497269
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913505300
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913524236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913594003
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913595863
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913601710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913602479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913610700
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913611850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913619475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913620273
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913782072
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913782937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913820241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913821851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913824676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913828032
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913831162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913890892
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913898409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368913902854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368914120305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368914156115
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368914192755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368914352067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368914354621
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368914785583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368914795295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368914877087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368914932230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368915082684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368915178228
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1368915179833
