what,kind,bundleId,bundleVersion,description,time
activated,view,com.mountainminds.eclemma.ui,2.2.1.201306092145,"com.mountainminds.eclemma.ui.CoverageView",1375767600918
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375767613865
activated,view,com.mountainminds.eclemma.ui,2.2.1.201306092145,"com.mountainminds.eclemma.ui.CoverageView",1375767637428
executed,command,com.mountainminds.eclemma.ui,2.2.1.201306092145,"com.mountainminds.eclemma.ui.relaunchSession",1375767637531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375767638551
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375767639975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375767662602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375767663648
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375767671986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375769305143
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375769307295
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1375769310711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375769312403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375769717999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375769721467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375770006507
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375770009366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375770061012
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375770245618
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375770288562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375770294329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375770295636
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1375770295694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375770300369
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375770332538
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375770333542
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375770335718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375770339924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375770367015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375770380048
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375770381522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375770402264
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375770409671
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375770410047
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375770410971
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375770411374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375770411809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375770433289
