what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740507849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740540281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740541401
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375740542281
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1375740562767
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375740577004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740620696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740621753
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375740622478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740693836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740702062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740756056
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1375740756111
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740779023
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375740780642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740853019
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740854844
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375740862336
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1375740874467
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740879319
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740892030
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375740897338
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375740899634
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375740903787
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375740943822
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375740945371
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375740947856
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1375740979725
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375740985478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740999448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375740999688
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375741008719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375741009074
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375741009435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1375741009895
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1375741034404
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1375741041837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375741073425
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375741163517
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375741168193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375741335341
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375741339750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375741344580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375741345668
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1375741346383
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1375741357304
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375741360229
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1375741363653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375741373340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1375741375635
